stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2834,2834,Union & Finch  Newark,STATE HWY 31 & FINCH ST,43.046734,-77.111549,,,,,,0,
2835,2835,Central Park & Church Newark,MAPLE CT & CHURCH ST,43.044569,-77.093948,,,,,,0,
2836,2836,Niagara & Bay,NIAGARA ST & BAY ST,43.170417,-77.589313,,,,,,0,
2837,2837,Niagara & Bay,NIAGARA ST & BAY ST,43.17053,-77.589207,,,,,,0,
2838,2838,Niagara & Central Park,NIAGARA ST & CENTRAL PARK,43.168541,-77.589243,,,,,,0,
2840,2840,Niagara & Dake,NIAGARA ST & DAKE ST,43.169427,-77.589178,,,,,,0,
2852,2852,Norfolk & Blue Spruce,NORFOLK DR & BLUE SPRUCE DR,43.099331,-77.753038,,,,,,0,
2853,2853,Norfolk & Forsythia,NORFOLK DR & FORSYTHIA DR,43.097953,-77.750103,,,,,,0,
2854,2854,Norfolk & Mimosa,NORFOLK DR & MIMOSA DR,43.096298,-77.750159,,,,,,0,
2855,2855,Norfolk & Privet,NORFOLK DR & PRIVET WAY,43.099343,-77.750855,,,,,,0,
2856,2856,Norfolk & Purple Leaf,NORFOLK DR & PURPLE LEAF LN,43.097293,-77.750141,,,,,,0,
2863,2863,North & Merrimac,NORTH ST & CLEVELAND ST,43.171486,-77.597386,,,,,,0,
2864,2864,North & Clifford,,43.175059,-77.595199,,,,,,0,
2865,2865,North & Clifford,NORTH ST & WATKIN TER,43.174726,-77.595547,,,,,,0,
2866,2866,North & Draper,,43.170626,-77.597706,,,,,,0,
2868,2868,North & Hartford,NORTH ST & HARTFORD ST,43.166681,-77.599886,,,,,,0,
2869,2869,North & Hartford,NORTH ST & HARTFORD ST,43.166747,-77.600035,,,,,,0,
2870,2870,North & Lyndhurst,,43.162951,-77.601928,,,,,,0,
2872,2872,North & Ontario,NORTH ST & ONTARIO ST,43.165414,-77.600585,,,,,,0,
2873,2873,North & Ontario,NORTH ST & ONTARIO ST,43.165516,-77.60075,,,,,,0,
2874,2874,North & Reed,NORTH ST & REED PARK,43.173176,-77.596435,,,,,,0,
2875,2875,North & Reed,,43.173053,-77.596347,,,,,,0,
2877,2877,North & Weld,NORTH ST & WELD ST,43.163893,-77.601622,,,,,,0,
2879,2879,North & Wilson,NORTH ST & WILSON ST,43.168948,-77.598788,,,,,,0,
2883,2883,Norton & Baird,NORTON ST & BAIRD ST,43.187109,-77.592746,,,,,,0,
2884,2884,Norton & Baird,,43.18702,-77.5931,,,,,,0,
2892,2892,Norton & Culver,NORTON ST & CONKEY AVE,43.188193,-77.561871,,,,,,0,
2905,2905,Norton & North,NORTON ST & NORTH ST,43.186924,-77.595887,,,,,,0,
2914,2914,Norton & Strathmore,NORTON ST & STRATHMORE CIR,43.187946,-77.56909,,,,,,0,
2918,2918,Norton & Woodside,NORTON ST & WOODSIDE PL,43.188076,-77.565641,,,,,,0,
2922,2922,Old Scottsvile Chili & Beaver,OLD SCOTTSVILLE CHILI RD & STATE HWY 252,43.095792,-77.754256,,,,,,0,
2925,2925,Old Scottsvile Chili & Norfolk,OLD SCOTTSVILLE CHILI RD & NORFOLK DR,43.099409,-77.753865,,,,,,0,
2932,2932,Panorama Trail & Panorama Creek,STATE HWY 153 & PANORAMA CREEK DR,43.129766,-77.495112,,,,,,0,
2933,2933,Panorama Trail & Panorama Plaza,STATE HWY 153 & PANORAMA TRL S,43.132044,-77.493405,,,,,,0,
2937,2937,Park & Alexander,PARK AVE & ALEXANDER ST,43.152283,-77.595592,,,,,,0,
2938,2938,Park & Barrington,,43.149048,-77.581462,,,,,,0,
2939,2939,Park & Barrington,PARK AVE & BARRINGTON ST,43.149101,-77.581664,,,,,,0,
2940,2940,Park & Berkeley,,43.148116,-77.578088,,,,,,0,
2941,2941,Park & Berkeley,PARK AVE & BERKELEY ST,43.14819,-77.577769,,,,,,0,
2942,2942,Park & Beverly,PARK AVE & BEVERLY ST,43.146279,-77.571123,,,,,,0,
2943,2943,Park & Beverly,,43.146193,-77.571319,,,,,,0,
2944,2944,Park & Brunswick,PARK AVE & BRUNSWICK ST,43.147143,-77.574266,,,,,,0,
2945,2945,Park & Brunswick,,43.147146,-77.574588,,,,,,0,
2948,2948,Park & Colby,,43.145691,-77.562753,,,,,,0,
2949,2949,Park & Culver,PARK AVE & CULVER RD,43.146807,-77.573015,,,,,,0,
2950,2950,Park & Culver,,43.146799,-77.573411,,,,,,0,
2953,2953,Park & Faraday,PARK AVE & FARADAY ST,43.145921,-77.567265,,,,,,0,
2954,2954,Park & Faraday,PARK AVE & FARADAY ST,43.146089,-77.566662,,,,,,0,
2955,2955,Park & Goodman,PARK AVE & GOODMAN ST S,43.150421,-77.590057,,,,,,0,
2956,2956,Park & Goodman,PARK AVE & GOODMAN ST S,43.150439,-77.589656,,,,,,0,
2958,2958,Park & Homer,PARK AVE & HOMER ST,43.146098,-77.564821,,,,,,0,
2959,2959,Park & Homer,PARK AVE & HOMER ST,43.145975,-77.565087,,,,,,0,
2961,2961,Park & Meigs,PARK AVE & MEIGS ST,43.151201,-77.592216,,,,,,0,
2962,2962,Park & Meigs,PARK AVE & MEIGS ST,43.151123,-77.592523,,,,,,0,
2963,2963,Park & Oxford,PARK AVE & OXFORD ST,43.149922,-77.586147,,,,,,0,
2964,2964,Park & Oxford,,43.149874,-77.58657,,,,,,0,
2977,2977,Parma Ctr & Parma Corners Hilton,STATE HWY 18 & COUNTY HWY 185,43.258711,-77.790452,,,,,,0,
2978,2978,Parma Ctr & Parma Corners Hilton,STATE HWY 18 & COUNTY HWY 185,43.258872,-77.790376,,,,,,0,
2979,2979,Parma Corners Hilton & Burritt,STATE HWY 18 & COUNTY HWY 187,43.273429,-77.791186,,,,,,0,
2980,2980,Parma Corners Hilton & Burritt,STATE HWY 18 & COUNTY HWY 187,43.273262,-77.790983,,,,,,0,
2981,2981,Parsells & Baldwin,PARSELLS AVE & BALDWIN ST,43.165647,-77.578098,,,,,,0,
2982,2982,Parsells & Baldwin,PARSELLS AVE & BALDWIN ST,43.165512,-77.578017,,,,,,0,
2983,2983,Parsells & Chamberlain,PARSELLS AVE & CHAMBERLAIN ST,43.165713,-77.575043,,,,,,0,
2984,2984,Parsells & Chamberlain,,43.165615,-77.57501,,,,,,0,
2985,2985,Parsells & Culver,PARSELLS AVE & GREELEY ST,43.165988,-77.563846,,,,,,0,
2986,2986,Parsells & Culver,PARSELLS AVE & CULVER RD,43.165861,-77.563376,,,,,,0,
2987,2987,Parsells & Denver,PARSELLS AVE & DENVER ST,43.165711,-77.569864,,,,,,0,
2988,2988,Parsells & Denver,PARSELLS AVE & DENVER ST,43.165882,-77.568919,,,,,,0,
2989,2989,Parsells & Greeley,PARSELLS AVE & GREELEY ST,43.165908,-77.566298,,,,,,0,
2990,2990,Parsells & Greeley,PARSELLS AVE & GREELEY ST,43.165811,-77.566053,,,,,,0,
3009,3009,Penfield & 1795 Penfield,STATE HWY 441 & PARKING LOT,43.129339,-77.478105,,,,,,0,
3010,3010,Penfield & 1806 Penfield,STATE HWY 441 & PARKING LOT,43.129847,-77.476944,,,,,,0,
3016,3016,Penfield & Burrows,PENFIELD RD & BURROWS DR,43.135444,-77.509167,,,,,,0,
3019,3019,Penfield & Commodore,PENFIELD RD & COMMODORE PKWY,43.137251,-77.520053,,,,,,0,
3020,3020,Penfield & Dale,PENFIELD RD & DALE RD,43.137147,-77.520071,,,,,,0,
3021,3021,Penfield & Five Mile Line,STATE HWY 441 & COUNTY HWY 18,43.129918,-77.476145,,,,,,0,
3026,3026,Penfield & Landing N,PENFIELD RD & LANDING RD N,43.137779,-77.529268,,,,,,0,
3027,3027,Penfield & Landing N,PENFIELD RD & LANDING RD N,43.137921,-77.529512,,,,,,0,
3028,3028,Penfield & Liberty,STATE HWY 441 & LIBERTY ST,43.129138,-77.47956,,,,,,0,
3031,3031,Penfield & Old Penfield East,PENFIELD RD & OLD PENFIELD RD,43.135172,-77.49711,,,,,,0,
3032,3032,Penfield & Sky Ridge,PENFIELD RD & OLD PENFIELD RD,43.135226,-77.505752,,,,,,0,
3033,3033,Penfield & Panorama,PENFIELD RD & STATE HWY 153,43.132715,-77.491297,,,,,,0,
3034,3034,Penfield & Panorama Plaza,PENFIELD RD & STATE HWY 153,43.134554,-77.495275,,,,,,0,
3035,3035,Penfield & Panorama Trail,PENFIELD RD & PANORAMA TRL S,43.133586,-77.492852,,,,,,0,
3037,3037,Penfield & Park Ln,PENFIELD RD & PARK LN,43.137657,-77.523374,,,,,,0,
3038,3038,Penfield & Weymouth,PENFIELD RD & PARK LN,43.137661,-77.522279,,,,,,0,
3040,3040,Penfield & Penfield Cres,PENFIELD RD & PENFIELD CRES,43.135819,-77.514323,,,,,,0,
3045,3045,Penfield & Sky Ridge,PENFIELD RD & SKY RIDGE DR,43.135353,-77.506351,,,,,,0,
3046,3046,Penfield & Speedy's Plaza,PENFIELD RD & SKY RIDGE DR,43.130378,-77.487348,,,,,,0,
3047,3047,Penfield & Superior,PENFIELD RD & SUPERIOR RD,43.136334,-77.517294,,,,,,0,
3048,3048,Penfield & Superior,PENFIELD RD & SUPERIOR RD,43.136416,-77.517178,,,,,,0,
3054,3054,Perinton Park & Ride,COURTNEY DR & PARK AND RIDE,43.067456,-77.43885,,,,,,0,
3070,3070,Pittsford Palmyra & Valley Crk,STATE HWY 31 & VALLEY CRK,43.070342,-77.447409,,,,,,0,
3071,3071,Pittsford Palmyra & Ayrault,STATE HWY 31 & COUNTY HWY 21,43.077623,-77.476859,,,,,,0,
3073,3073,Pittsford Palmyra & Sandle,STATE HWY 31 & SANDLE DR,43.076481,-77.471995,,,,,,0,
3074,3074,Pittsford Palmyra & Wegmans East En,STATE HWY 31 & STATE HWY 250,43.069671,-77.444821,,,,,,0,
3088,3088,Plymouth & Bartlett,,43.142696,-77.61934,,,,,,0,
3089,3089,Plymouth & Edith,,43.142556,-77.619264,,,,,,0,
3092,3092,Plymouth & Church,PLYMOUTH AVE N & CHURCH ST,43.15625,-77.616537,,,,,,0,
3093,3093,Plymouth & Columbia,STATE HWY 383 & COLUMBIA AVE,43.141375,-77.620688,,,,,,0,
3094,3094,Plymouth & Platt,PLYMOUTH AVE N & PLATT ST,43.15996,-77.620043,,,,,,0,
3100,3100,Plymouth & Jay,PLYMOUTH AVE N & JAY ST,43.161995,-77.622794,,,,,,0,
3102,3102,Plymouth & Smith,PLYMOUTH AVE N & SMITH ST,43.163192,-77.624412,,,,,,0,
3107,3107,Plymouth & 1400 Plymouth,STATE HWY 383 & COUNTY HWY 39,43.131982,-77.633965,,,,,,0,
3108,3108,Plymouth & 1400 Plymouth,STATE HWY 383 & COUNTY HWY 39,43.131901,-77.63387,,,,,,0,
3111,3111,Plymouth & Barton,STATE HWY 383 & BARTON ST,43.133806,-77.630701,,,,,,0,
3112,3112,Plymouth & Barton,STATE HWY 383 & BARTON ST,43.133883,-77.630797,,,,,,0,
3114,3114,Plymouth & Cottage,STATE HWY 383 & COTTAGE ST,43.134735,-77.628867,,,,,,0,
3115,3115,Plymouth & Ethel,STATE HWY 383 & ETHEL ST,43.141298,-77.620572,,,,,,0,
3117,3117,Plymouth & Flint,STATE HWY 383 & FLINT ST,43.139281,-77.622943,,,,,,0,
3118,3118,Plymouth & Flint,STATE HWY 383 & FLINT ST,43.138991,-77.623081,,,,,,0,
3119,3119,Plymouth & Jefferson,STATE HWY 383 & COTTAGE ST,43.13532,-77.628638,,,,,,0,
3120,3120,Plymouth & Magnolia,STATE HWY 383 & MAGNOLIA ST,43.137362,-77.625605,,,,,,0,
3121,3121,Plymouth & Magnolia,STATE HWY 383 & MAGNOLIA ST,43.137125,-77.625742,,,,,,0,
3132,3132,Portland & 141 Portland,PORTLAND AVE & WESLEY ST,43.168231,-77.597137,,,,,,0,
3137,3137,Portland & Bernard,PORTLAND AVE & BERNARD ST,43.17741,-77.589936,,,,,,0,
3138,3138,Portland & Buell,COUNTY HWY 114 & BUELL DR,43.191554,-77.584249,,,,,,0,
3139,3139,Portland & Carter,PORTLAND AVE & CARTER ST,43.176315,-77.590743,,,,,,0,
3140,3140,Portland & Central Park,PORTLAND AVE & CENTRAL PARK,43.169512,-77.595212,,,,,,0,
3141,3141,Portland & Grafton,PORTLAND AVE & DELAMAINE DR,43.183416,-77.585179,,,,,,0,
3142,3142,Portland & Clifford,PORTLAND AVE & CLIFFORD AVE,43.175122,-77.591376,,,,,,0,
3143,3143,Portland & Delamaine,PORTLAND AVE & DELAMAINE DR,43.184006,-77.584682,,,,,,0,
3144,3144,Portland & Draper,PORTLAND AVE & DRAPER ST,43.169954,-77.595125,,,,,,0,
3145,3145,Portland & Durnan,PORTLAND AVE & DURNAN ST,43.182472,-77.586502,,,,,,0,
3146,3146,Portland & Fernwood,PORTLAND AVE & FERNWOOD AVE,43.176867,-77.590172,,,,,,0,
3147,3147,Portland & Furlong,PORTLAND AVE & FURLONG ST,43.185443,-77.584111,,,,,,0,
3149,3149,Portland & Irondequoit,PORTLAND AVE & IRONDEQUOIT ST,43.172195,-77.593372,,,,,,0,
3150,3150,Portland & Lansing,,43.173566,-77.592637,,,,,,0,
3152,3152,Portland & Lux,PORTLAND AVE & LUX ST,43.181267,-77.587358,,,,,,0,
3155,3155,Portland & Shelmont,COUNTY HWY 114 & SHELMONT DR,43.190131,-77.584428,,,,,,0,
3156,3156,Portland & Pomeroy,,43.185676,-77.583908,,,,,,0,
3157,3157,Portland & Norton,PORTLAND AVE & BACHMAN RD,43.187855,-77.584035,,,,,,0,
3158,3158,Portland & Norton,PORTLAND AVE & NORTON ST,43.187458,-77.584253,,,,,,0,
3161,3161,Portland & Portland Ct,PORTLAND AVE & PORTLAND CT,43.188924,-77.584112,,,,,,0,
3162,3162,Portland & Randolph,PORTLAND AVE & RANDOLPH ST,43.181949,-77.58665,,,,,,0,
3164,3164,Portland & Buell,COUNTY HWY 114 & DRIVEWAY,43.192326,-77.584567,,,,,,0,
3165,3165,Portland & Shelmont,PORTLAND AVE & SHELMONT DR,43.189689,-77.584142,,,,,,0,
3166,3166,Portland & St Ann's,COUNTY HWY 114 & ST ANNS CIR,43.193249,-77.584333,,,,,,0,
3169,3169,Portland & Stevens,,43.17216,-77.593587,,,,,,0,
3171,3171,Portland & Wesley,PORTLAND AVE & WESLEY ST,43.167887,-77.597517,,,,,,0,
3172,3172,Portland & Willite,PORTLAND AVE & WILLITE DR,43.179908,-77.58824,,,,,,0,
3173,3173,Portland & Willite,PORTLAND AVE & WILLITE DR,43.179716,-77.588197,,,,,,0,
3175,3175,Railroad & Hovey Hilton P & R,RAILROAD AVE & HOVEY ST,43.289449,-77.790847,,,,,,0,
3178,3178,Reynolds & Samuel McCree,REYNOLDS ST & DR SAMUEL MCCREE WAY,43.14691,-77.626148,,,,,,0,
3242,3242,Ridge & Hargrave,,43.194863,-77.61027,,,,,,0,
3243,3243,Ridge & 1267 Ridge,COUNTY HWY 241 & BELLAMY DR,43.197624,-77.583673,,,,,,0,
3244,3244,Ridge & 1274 Ridge,COUNTY HWY 241 & BELLAMY DR,43.197955,-77.582993,,,,,,0,
3247,3247,Ridge & 1406 Ridge,COUNTY HWY 241 & RIDGE RD E,43.198622,-77.57975,,,,,,0,
3248,3248,Ridge & 1571 Ridge,RIDGE RD E & UNNAMED ST,43.199633,-77.574562,,,,,,0,
3253,3253,Ridge & 824 Ridge,COUNTY HWY 241 & BRAMBURY DR,43.196779,-77.595738,,,,,,0,
3255,3255,Ridge & Brown,,43.201926,-77.567306,,,,,,0,
3256,3256,Ridge & Brown,COUNTY HWY 241 & BROWN RD,43.201675,-77.567559,,,,,,0,
3260,3260,Ridge & Irondequoit Mall East Ent,COUNTY HWY 241 & PARKING LOT,43.200901,-77.570169,,,,,,0,
3263,3263,Ridge & Goodman,,43.198921,-77.577298,,,,,,0,
